example_index,turn,condition,k,score,output,requested_key_indices,active_key_indices,active_requested_key_fraction,active_context_count,selected_count,selected_positions,selected_overlap_fraction,active_overlap_fraction,generation_s,query_score_s,transfer_ms,inject_ms,answer_tokens,target_active_context_count,base_active_context_count,evicted_buffer_count,evicted_buffer_bytes,active_budget_gap,active_context_matches_target
0,0,Full,80,1.0," 93329,60910","[6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,2.44608,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,1,Full,80,1.0," 74808,35413","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.315693,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,2,Full,80,1.0," 54180,84993","[4, 5]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.31573,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,3,Full,80,1.0," 58562,31549","[2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.31652,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,4,Full,80,1.0," 74808,35413","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.3158,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,0,Matched,80,1.0," 93329,60910","[6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.316238,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,1,Matched,80,0.0," 58562,35136","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,0,[],0.0,0.152174,0.268908,0.0,0.0,0.0,13,18512,18512,0,0,0,True
0,2,Matched,80,1.0," 54180,84993","[4, 5]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,0,[],0.0,0.804348,0.269447,0.0,0.0,0.0,13,18512,18512,0,0,0,True
0,3,Matched,80,0.5," 54180,31549","[2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,0,[],0.0,0.456522,0.268813,0.0,0.0,0.0,13,18512,18512,0,0,0,True
0,4,Matched,80,0.0," 58562,35136","[0, 1]","[1, 2, 3, 4, 5, 6, 7]",0.5,18512,0,[],0.0,0.173913,0.270058,0.0,0.0,0.0,13,18512,18512,0,0,0,True
0,0,IdleKV,80,1.0," 93329,60910","[6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.314808,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,1,IdleKV,80,1.0," 74808,35413","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,80,"[9783, 9785, 9787, 9789, 9790, 9794, 9796, 9798, 9803, 9805, 24466, 24467, 24468, 24469, 24470, 24473, 24476, 24477, 24478, 24482, 24485, 24486, 14059, 14061, 14066, 14068, 14069, 14070, 14071, 14078, 14081, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 24, 25, 26, 2023, 2024, 2025, 2026, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2022, 2021, 6020, 6021, 6022, 6025, 6026, 6027, 6028, 6030, 6033, 6034]",0.478261,0.630435,0.270226,7.037158,1.030389,4.245605,13,18512,18432,14336,822083584,0,True
0,2,IdleKV,80,1.0," 54180,84993","[4, 5]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,80,"[9785, 24466, 24467, 24468, 24470, 24473, 24475, 24476, 24477, 24482, 24485, 24486, 21619, 21620, 21621, 21633, 21635, 21636, 21637, 21638, 21640, 21641, 14061, 14062, 14063, 14068, 14069, 14070, 14078, 14081, 21618, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 18, 20, 9942, 9943, 9944, 9945, 9946, 9951, 9957, 9958, 9959, 9960, 9961, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",0.108696,0.869565,0.273583,6.999271,0.997092,4.377819,13,18512,18432,14336,822083584,0,True
0,3,IdleKV,80,1.0," 58562,31549","[2, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,80,"[9785, 9796, 9804, 24466, 24467, 24468, 24469, 24470, 24473, 24475, 24476, 24477, 24478, 24482, 24486, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 14061, 14069, 14070, 14081, 13843, 13844, 13845, 13858, 13860, 13863, 13864, 13865, 17, 18, 9943, 9944, 9945, 9946, 9947, 9950, 9951, 9952, 9953, 9954, 9957, 9958, 42, 43, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 13842]",0.326087,0.76087,0.270754,7.02369,1.019893,4.34977,13,18512,18432,14336,822083584,0,True
0,4,IdleKV,80,1.0," 74808,35413","[0, 1]","[1, 2, 3, 4, 5, 6, 7]",0.5,18512,80,"[24466, 24467, 24468, 24476, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 17, 18, 42, 43, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 6018, 6019, 6020, 6021, 6022, 6023, 6025, 6026, 6027, 6028, 6034, 6037, 6039, 6041, 13842, 13843, 13844, 13845, 13857, 13858, 13859, 13860, 13861, 13862, 13863, 13864, 6042, 28531, 28532, 28533, 28535, 28536, 28538, 28545, 28546, 28548, 28549, 28550]",0.217391,0.347826,0.27038,7.301855,1.085242,4.952401,13,18512,18432,14336,822083584,0,True
0,0,CurrentQOnly-K,80,1.0," 93329,60910","[6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,32768,0,[],0.0,1.0,0.315354,0.0,0.0,0.0,13,32768,32768,0,0,0,True
0,1,CurrentQOnly-K,80,1.0," 74808,35413","[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",1.0,18512,80,"[9783, 9785, 9787, 9789, 9790, 9794, 9796, 9798, 9803, 9805, 24466, 24467, 24468, 24469, 24470, 24473, 24476, 24477, 24478, 24482, 24485, 24486, 14059, 14061, 14066, 14068, 14069, 14070, 14071, 14078, 14081, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 24, 25, 26, 2023, 2024, 2025, 2026, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2022, 2021, 6020, 6021, 6022, 6025, 6026, 6027, 6028, 6030, 6033, 6034]",0.478261,0.630435,0.270077,7.196859,0.945435,4.228678,13,18512,18432,14336,822083584,0,True
